iter	RMSE
611	nan
612	nan
613	nan
614	nan
615	nan
616	nan
617	nan
618	nan
619	nan
620	15.614095186621	nan6622	nan6623	nan6624	nan6625	nan6626	nan6627	nan6628	nan6629	nan6630	15.440568356631	nan6632	nan6633	nan6634	nan6635	nan6636	nan6637	nan6638	nan6639	nan6640	15.264883126641	nan6642	nan6643	nan6644	nan6645	nan6646	nan6647	nan6648	nan6649	nan6650	15.112473246651	nan6652	nan6653	nan6654	nan6655	nan6656	nan6657	nan6658	nan6659	nan6660	14.946676996661	nan6662	nan6663	nan6664	nan6665	nan6666	nan6667	nan6668	nan6669	nan6670	14.755569976671	nan6672	nan6673	nan6674	nan6675	nan6676	nan6677	nan6678	nan6679	nan6680	14.594268666681	nan6682	nan6683	nan6684	nan6685	nan6686	nan6687	nan6688	nan6689	nan6690	14.467387316691	nan6692	nan6693	nan6694	nan6695	nan6696	nan6697	nan6698	nan6699	nan7700	14.316602577701	nan7702	nan7703	nan7704	nan7705	nan7706	nan7707	nan7708	nan7709	nan7710	14.186276747711	nan7712	nan7713	nan7714	nan7715	nan7716	nan7717	nan7718	nan7719	nan7720	14.050843777721	nan7722	nan7723	nan7724	nan7725	nan7726	nan7727	nan7728	nan7729	nan7730	13.885001967731	nan7732	nan7733	nan7734	nan7735	nan7736	nan7737	nan7738	nan7739	nan7740	13.748915657741	nan7742	nan7743	nan7744	nan7745	nan7746	nan7747	nan7748	nan7749	nan7750	13.593850537751	nan7752	nan7753	nan7754	nan7755	nan7756	nan7757	nan7758	nan7759	nan7760	13.4433928
761	nan
762	nan
763	nan
764	nan
765	nan
766	nan
767	nan
768	nan
769	nan
770	13.30338274
771	nan
772	nan
773	nan
774	nan
775	nan
776	nan
777	nan
778	nan
779	nan
780	13.16738241
781	nan
782	nan
783	nan
784	nan
785	nan
786	nan
787	nan
788	nan
789	nan
790	13.02948
791	nan
792	nan
793	nan
794	nan
795	nan
796	nan
797	nan
798	nan
799	nan
800	12.9137347
801	nan
802	nan
803	nan
804	nan
805	nan
806	nan
807	nan
808	nan
809	nan
810	12.78259721
811	nan
812	nan
813	nan
814	nan
815	nan
816	nan
817	nan
818	nan
819	nan
820	12.65515901
821	nan
822	nan
823	nan
824	nan
825	nan
826	nan
827	nan
828	nan
829	nan
830	12.56249813
831	nan
832	nan
833	nan
834	nan
835	nan
836	nan
837	nan
838	nan
839	nan
840	12.45344783
841	nan
842	nan
843	nan
844	nan
845	nan
846	nan
847	nan
848	nan
849	nan
850	12.32889117
851	nan
852	nan
853	nan
854	nan
855	nan
856	nan
857	nan
858	nan
859	nan
860	12.20143763
861	nan
862	nan
863	nan
864	nan
865	nan
866	nan
867	nan
868	nan
869	nan
