iter	RMSE
0	42.63578348
1	42.1457119
2	41.69325854
3	41.24777144
4	40.82012108
5	40.39602364
6	40.00103144
7	39.60011607
8	39.20116394
9	38.82102143
10	38.48150918
11	38.13226251
12	37.82737096
13	37.49298867
14	37.19647959
15	36.88113851
16	36.61231433
17	36.30573692
18	35.99575794
19	35.67863091
20	35.40366712
21	35.15386017
22	34.86676
23	34.61886442
24	34.40209316
25	34.16300119
26	33.93784513
27	33.7034083
28	33.50599668
29	33.2864354
30	33.0847604
31	32.84890772
32	32.6571335
33	32.45025987
34	32.2729881
35	32.11140449
36	31.94547989
37	31.76958158
38	31.60332872
39	31.45533311
40	31.29770827
41	31.12531932
42	30.96992053
43	30.84723553
44	30.71030724
45	30.56987219
46	30.44479547
47	30.30380529
48	30.16421751
49	30.03562853
50	29.92330732
51	29.76991133
52	29.65053966
53	29.53515291
54	29.44252245
55	29.34214589
56	29.21499622
57	29.11395725
58	29.02091925
59	28.92538321
60	28.83019803
61	28.75013134
62	28.66314083
63	28.56085109
64	28.47428933
65	28.37251675
66	28.30688376
67	28.23310628
68	28.13785683
69	28.03976562
70	27.95934435
71	27.89713033
72	27.81752849
73	27.75284474
74	27.67263163
75	27.61278444
76	27.5378713
77	27.45613858
78	27.37540935
79	27.31075715
80	27.261933
81	27.19817718
82	27.13292616
83	27.07372444
84	27.03422141
85	26.97801142
86	26.92070414
87	26.83998736
88	26.76775222
89	26.71005174
90	26.67302223
91	26.6296887
92	26.56589361
93	26.50703537
94	26.43662935
95	26.39152958
96	26.33451892
97	26.28275524
98	26.20526166
99	26.12994163
100	26.09229064
101	26.04536633
102	25.99235905
103	25.93458346
104	25.8956703
105	25.83920366
106	25.78970432
107	25.76002161
108	25.70429867
109	25.66599421
110	25.61836918
111	25.55027366
112	25.50845456
113	25.45935719
114	25.40528628
115	25.35336748
116	25.30803053
117	25.27128093
118	25.22466602
119	25.18752982
120	25.15816546
121	25.11289569
122	25.06728698
123	25.03463085
124	25.004112
125	24.95108042
126	24.89233154
127	24.85939326
128	24.82962328
129	24.78938307
130	24.72505395
131	24.65858332
132	24.60644453
133	24.56451829
134	24.53571107
135	24.48590939
136	24.42768018
137	24.38013384
138	24.33021815
139	24.30298514
140	24.26836527
141	24.22573753
142	24.18439501
143	24.1480902
144	24.10443604
145	24.07246535
146	24.02495471
147	23.96928133
148	23.92630467
149	23.87940879
150	23.856826
151	23.8392883
152	23.82119343
153	23.79232945
154	23.73898613
155	23.70422965
156	23.64223603
157	23.60529366
158	23.58256221
159	23.56134609
160	23.52642042
161	23.48485305
162	23.42366416
163	23.39112512
164	23.34525602
165	23.30542432
166	23.26497912
167	23.2304106
168	23.186695
169	23.1444067
170	23.11905512
171	23.08744038
172	23.06712219
173	23.01342225
174	22.97031888
175	22.92787791
176	22.89957278
177	22.88132977
178	22.84962695
179	22.81376928
180	22.78533289
181	22.75816895
182	22.72833162
183	22.68601479
184	22.6676859
185	22.64232358
186	22.60495809
187	22.58897595
188	22.54822134
189	22.51719258
190	22.48900131
191	22.45620769
192	22.45456841
193	22.42670139
194	22.41096013
195	22.36250813
196	22.34217246
197	22.30826638
198	22.28044003
199	22.24639444
200	22.21784148
201	22.20700335
202	22.18202996
203	22.14837933
204	22.11747673
205	22.07510436
206	22.05049467
207	22.03012716
208	22.00427324
209	21.98015195
210	21.95996734
211	21.92813083
212	21.90065423
213	21.86470107
214	21.83810123
215	21.79519286
216	21.76494463
217	21.73777988
218	21.70919935
219	21.67343017
220	21.65601098
221	21.63283313
222	21.60910398
223	21.59036136
224	21.55780631
225	21.53583732
226	21.49348006
227	21.47389722
228	21.44641216
229	21.42642131
230	21.40621298
231	21.3774876
232	21.34229624
233	21.32226496
234	21.29761012
235	21.27142133
236	21.23847228
237	21.20778536
238	21.19788918
239	21.15322372
240	21.12966376
241	21.10288527
242	21.0703515
243	21.04991161
244	21.01943189
245	20.98430142
246	20.95760653
247	20.92885605
248	20.910168
249	20.89286768
250	20.86264635
251	20.84382744
252	20.82004434
253	20.80375667
254	20.77486961
255	20.75734835
256	20.71879313
257	20.69249485
258	20.67260776
259	20.65089871
260	20.62202656
261	20.58522045
262	20.56172077
263	20.54073537
264	20.53430936
265	20.50126705
266	20.46267975
267	20.44992492
268	20.42150634
269	20.39828581
270	20.38121943
271	20.36508107
272	20.33883497
273	20.32054988
274	20.28470968
275	20.26680281
276	20.23993483
277	20.21429003
278	20.19417349
279	20.1783021
280	20.16390355
281	20.14469289
282	20.12611069
283	20.10355274
284	20.07313987
285	20.04391704
286	20.00909244
287	19.98804003
288	19.96996004
289	19.94275327
290	19.92306099
291	19.90487104
292	19.88131664
293	19.8701257
294	19.84052247
295	19.81474124
296	19.79614321
297	19.76972656
298	19.74327731
299	19.70906963
300	19.69363131
301	19.67307429
302	19.65368976
303	19.63056652
304	19.61336803
305	19.57610772
306	19.55299806
307	19.5297602
308	19.50626811
309	19.50450958
310	19.49304575
311	19.47701041
312	19.45274367
313	19.43768191
314	19.41538814
315	19.38777949
316	19.38124473
317	19.36613928
318	19.36481036
319	19.34648608
320	19.32950194
321	19.31102719
322	19.28237172
323	19.26149973
324	19.24074149
325	19.21335242
326	19.18638404
327	19.16329892
328	19.1522286
329	19.1234341
330	19.10081665
331	19.07751941
332	19.05939775
333	19.03071871
334	19.01404861
335	18.98609705
336	18.95867925
337	18.92759464
338	18.91244802
339	18.89462209
340	18.88091025
341	18.84120886
342	18.8288498
343	18.81801888
344	18.78614207
345	18.76827827
346	18.75393028
347	18.74128934
348	18.72855556
349	18.6993684
350	18.67090787
351	18.64794873
352	18.62138013
353	18.59908674
354	18.56886511
355	18.56145064
356	18.5443751
357	18.51662988
358	18.49896369
359	18.47248205
360	18.44542566
361	18.42612422
362	18.39420459
363	18.37539335
364	18.35625189
365	18.33394359
366	18.316726
367	18.28133294
368	18.26320008
369	18.2446014
370	18.22812297
371	18.20657914
372	18.17724909
373	18.16162308
374	18.1395088
375	18.12493734
376	18.09895097
377	18.07603343
378	18.06149032
379	18.03243535
380	18.00263808
381	17.98351028
382	17.95508726
383	17.93563321
384	17.92173021
385	17.88972982
386	17.87548226
387	17.85478629
388	17.8291416
389	17.80542576
390	17.7892883
391	17.76853354
392	17.74866096
393	17.73482406
394	17.71042699
395	17.69831354
396	17.6803496
397	17.65614911
398	17.63628366
399	17.6079291
400	17.59329702
401	17.56834205
402	17.54746993
403	17.52196155
404	17.50877111
405	17.48951774
406	17.4560321
407	17.43985284
408	17.41600925
409	17.39748443
410	17.37532142
411	17.36255637
412	17.33755951
413	17.31557326
414	17.28804321
415	17.26733685
416	17.24880563
417	17.23184641
418	17.19090531
419	17.1794983
420	17.16453461
421	17.14729508
422	17.12140607
423	17.10423194
424	17.08435988
425	17.06778998
426	17.05302831
427	17.02638604
428	17.00396279
429	16.99158364
430	16.97259355
431	16.95181029
432	16.92381576
433	16.89070448
434	16.87796609
435	16.85146227
436	16.82242563
437	16.79488514
438	16.77331517
439	16.75853622
440	16.74045739
441	16.72406317
442	16.71074449
443	16.68586689
444	16.66909914
445	16.64846513
446	16.62743493
447	16.60975336
448	16.60090844
449	16.57929171
450	16.5540553
451	16.5360696
452	16.51950845
453	16.49945627
454	16.48050634
455	16.46345011
456	16.44413268
457	16.42191844
458	16.40334055
459	16.37614359
460	16.35849727
461	16.34808677
462	16.32542505
463	16.29843402
464	16.28801841
465	16.27003866
466	16.25206062
467	16.23361766
468	16.2041103
469	16.19512736
470	16.17005534
471	16.15787925
472	16.14938542
473	16.12731761
474	16.11705825
475	16.09783364
476	16.08367105
477	16.06778251
478	16.05008194
479	16.03063229
480	16.01462524
481	15.99186329
482	15.98059136
483	15.96958562
484	15.95364931
485	15.93575621
486	15.91911532
487	15.90870103
488	15.89106479
489	15.87080716
490	15.84117303
491	15.8210005
492	15.80183713
493	15.77022929
494	15.74692299
495	15.72909069
496	15.71733939
497	15.69354961
498	15.68158447
499	15.65707031
500	15.64232039
501	15.61993102
502	15.60254325
503	15.58739989
504	15.57162999
505	15.56419678
506	15.53450523
507	15.52416767
508	15.50573452
509	15.49558568
510	15.48194669
511	15.47052545
512	15.44591275
513	15.43063701
514	15.40849442
515	15.40065375
516	15.38015785
517	15.35568079
518	15.34561547
519	15.32437365
520	15.30767014
521	15.29885949
522	15.27769177
523	15.26546029
524	15.25568064
525	15.236374
526	15.22411959
527	15.20668948
528	15.18895648
529	15.16267956
530	15.14642124
531	15.13507237
532	15.12237451
533	15.10668398
534	15.08269473
535	15.06366107
536	15.04799365
537	15.04162472
538	15.03377041
539	15.01949085
540	15.00641127
541	14.99246443
542	14.97043855
543	14.95908972
544	14.95128194
545	14.9450157
546	14.93635513
547	14.90701764
548	14.88902756
549	14.88109905
550	14.86444733
551	14.84818235
552	14.83148095
553	14.817549
554	14.80469907
555	14.77471496
556	14.76240055
557	14.74466754
558	14.71947512
559	14.70426388
560	14.69293422
561	14.68514269
562	14.66899138
563	14.65451684
564	14.6363465
565	14.62295946
566	14.61013107
567	14.593975
568	14.57438681
569	14.56095112
570	14.54757443
571	14.52841924
572	14.51838467
573	14.49871465
574	14.48238401
575	14.45380541
576	14.44356704
577	14.42197928
578	14.41421563
579	14.39486096
580	14.37366739
581	14.35238752
582	14.33868821
583	14.32350173
584	14.31022633
585	14.29443988
586	14.27968543
587	14.25670223
588	14.24182712
589	14.23093228
590	14.22604266
591	14.21531939
592	14.19629803
593	14.1783978
594	14.17301754
595	14.16926498
596	14.15640014
597	14.14212035
598	14.12969376
599	14.11341644
600	14.09524449
601	14.07192505
602	14.06099276
603	14.03991376
604	14.02709651
605	14.01609286
606	14.00478071
607	13.99541185
608	13.98786776
609	13.96949555
610	13.9555525
611	13.94465323
612	13.93476747
613	13.92154406
614	13.90438706
615	13.88958767
616	13.87335149
617	13.86488372
618	13.85726897
619	13.84186343
620	13.82807514
621	13.81741588
622	13.80394492
623	13.78842204
624	13.7816238
625	13.7721934
626	13.76071075
627	13.74525726
628	13.73416284
629	13.72190728
630	13.71263469
631	13.70164277
632	13.69204376
633	13.67831461
634	13.66278438
635	13.6404178
636	13.62041067
637	13.6083969
638	13.58885755
639	13.56723759
640	13.5429059
641	13.53150218
642	13.51139404
643	13.49605804
644	13.48581207
645	13.47302982
646	13.45705671
647	13.43686572
648	13.42416569
649	13.41156396
650	13.40190237
651	13.39282283
652	13.38253586
653	13.37009524
654	13.36350354
655	13.34483828
656	13.32565947
657	13.31128561
658	13.30192183
659	13.28274449
660	13.26963627
661	13.24878428
662	13.24080506
663	13.22716194
664	13.2157586
665	13.20489189
666	13.19113742
667	13.17749369
668	13.17046593
669	13.15567541
670	13.14812031
671	13.13808723
672	13.12202596
673	13.11233814
674	13.10116106
675	13.07865324
676	13.07087659
677	13.05511164
678	13.04437367
679	13.02247395
680	12.99944313
681	12.98977043
682	12.98112151
683	12.9750843
684	12.96947098
685	12.95977629
686	12.94579224
687	12.93134366
688	12.92107491
689	12.91185225
690	12.90433875
691	12.88925866
692	12.87903875
693	12.8674927
694	12.85281659
695	12.83294094
696	12.81831838
697	12.79854981
698	12.78810451
699	12.76933525
700	12.75026525
701	12.74445078
702	12.72944747
703	12.72455501
704	12.7199792
705	12.70746942
706	12.7002123
707	12.68299028
708	12.6628354
709	12.6490954
710	12.64113172
711	12.6298917
712	12.61969502
713	12.61220937
714	12.59290727
715	12.58065814
716	12.56989793
717	12.55691864
718	12.54778345
719	12.52903145
720	12.51603666
721	12.50952868
722	12.48966758
723	12.47859563
724	12.46690243
725	12.45127921
726	12.44800672
727	12.42737475
728	12.41232777
729	12.40107176
730	12.38733804
731	12.38015265
732	12.36395778
733	12.3538622
734	12.34658899
735	12.33639171
736	12.31170507
737	12.30115929
738	12.27928542
739	12.27189505
740	12.26290545
741	12.25461649
742	12.23776718
743	12.22332778
744	12.21125648
745	12.20639229
746	12.19417334
747	12.18008264
748	12.17537247
749	12.16228823
750	12.15107365
751	12.13101783
752	12.12398112
753	12.10523515
754	12.0917546
755	12.07976573
756	12.06588157
757	12.0577025
758	12.04561068
759	12.03543597
760	12.02683296
761	12.0135883
762	12.00349173
763	11.99835859
764	11.99094884
765	11.97590048
766	11.96464144
767	11.94968539
768	11.9375136
769	11.92589734
